ts,code,val
1770525120.563094,16,616
1770525120.563094,17,181
1770525120.566287,16,1023
1770525120.566287,17,1023
1770525120.683668,16,755
1770525120.683668,17,127
1770525120.683676,16,1023
1770525120.683676,17,1023
1770525121.428109,16,230
1770525121.428109,17,486
1770525121.463074,16,1023
1770525121.463074,17,1023
1770525126.084115,16,74
1770525126.084115,17,381
1770525126.084119,16,1023
1770525126.084119,17,1023
1770525126.585071,16,401
1770525126.585071,17,555
1770525126.624073,16,1023
1770525126.624073,17,1023
1770525129.323167,16,510
1770525129.323167,17,80
1770525129.326153,16,1023
1770525129.326153,17,1023
1770525129.63037,16,521
1770525129.63037,17,40
1770525129.648081,16,1023
1770525129.648081,17,1023
1770525135.890086,16,174
1770525135.890086,17,688
1770525135.923145,16,1023
1770525135.923145,17,1023
1770525136.970105,16,111
1770525136.970105,17,377
1770525137.003111,16,1023
1770525137.003111,17,1023
1770525137.62711,16,569
1770525137.62711,17,12
1770525137.629111,16,1023
1770525137.629111,17,1023
1770525138.162073,16,170
1770525138.162073,17,315
1770525138.165164,16,1023
1770525138.165164,17,1023
1770525138.923165,16,174
1770525138.923165,17,34
1770525138.929123,16,1023
1770525138.929123,17,1023
1770525140.125106,16,292
1770525140.125106,17,275
1770525140.125113,16,1023
1770525140.125113,17,1023
1770525140.745101,16,280
1770525140.745101,17,522
1770525140.783295,16,1023
1770525140.783295,17,1023
1770525141.623098,16,792
1770525141.623098,17,744
1770525141.623106,16,386
1770525141.623106,17,185
1770525141.629189,16,1023
1770525141.629189,17,1023
1770525141.743277,16,267
1770525141.743277,17,487
1770525141.753101,16,1023
1770525141.753101,17,1023
1770525141.942094,16,228
1770525141.942094,17,305
1770525141.947274,16,1023
1770525141.947274,17,1023
1770525142.164728,16,244
1770525142.164728,17,285
1770525142.164733,16,522
1770525142.164733,17,378
1770525142.171108,16,1023
1770525142.171108,17,1023
1770525142.283089,16,208
1770525142.283089,17,299
1770525142.283096,16,1023
1770525142.283096,17,1023
1770525143.363248,16,915
1770525143.363248,17,496
1770525143.363255,16,1023
1770525143.363255,17,1023
1770525145.593099,16,325
1770525145.593099,17,109
1770525145.610544,16,920
1770525145.610544,17,200
1770525145.644428,16,1023
1770525145.644428,17,1023
1770525146.065097,16,297
1770525146.065097,17,112
1770525146.070115,16,1023
1770525146.070115,17,1023
1770525146.149104,16,908
1770525146.149104,17,520
1770525146.181641,16,1023
1770525146.181641,17,1023
1770525146.793107,16,106
1770525146.793107,17,255
1770525146.847213,16,1023
1770525146.847213,17,1023
1770525147.447086,16,490
1770525147.447086,17,38
1770525147.464815,16,1023
1770525147.464815,17,1023
1770525147.563092,16,75
1770525147.563092,17,74
1770525147.5631,16,1023
1770525147.5631,17,1023
1770525147.763111,16,22
1770525147.763111,17,665
1770525147.803116,16,1023
1770525147.803116,17,1023
1770525148.226073,16,536
1770525148.226073,17,64
1770525148.226089,16,1023
1770525148.226089,17,1023
1770525149.387089,16,183
1770525149.387089,17,431
1770525149.42409,16,1023
1770525149.42409,17,1023
1770525150.576251,16,876
1770525150.576251,17,143
1770525150.624135,16,1023
1770525150.624135,17,1023
1770525150.805087,16,164
1770525150.805087,17,390
1770525150.809085,16,1023
1770525150.809085,17,1023
1770525150.923166,16,749
1770525150.923166,17,102
1770525150.932091,16,1023
1770525150.932091,17,1023
1770525151.532115,16,205
1770525151.532115,17,670
1770525151.549199,16,1023
1770525151.549199,17,1023
1770525151.969088,16,431
1770525151.969088,17,24
1770525152.004284,16,1023
1770525152.004284,17,1023
1770525152.201072,16,791
1770525152.201072,17,758
1770525152.201072,18,313
1770525152.201072,19,33
1770525152.201072,20,439
1770525152.201072,21,43
1770525152.202088,16,1023
1770525152.202088,17,1023
1770525152.202088,18,1023
1770525152.202088,19,1023
1770525152.202088,20,1023
1770525152.202088,21,1023
1770525152.423113,16,26
1770525152.423113,17,296
1770525152.423119,16,1023
1770525152.423119,17,1023
1770525152.508088,16,172
1770525152.508088,17,340
1770525152.543079,16,1023
1770525152.543079,17,1023
1770525156.943126,16,96
1770525156.943126,17,96
1770525156.947279,16,1023
1770525156.947279,17,1023
1770525157.48309,16,191
1770525157.48309,17,560
1770525157.525128,16,1023
1770525157.525128,17,1023
1770525157.604137,16,354
1770525157.604137,17,496
1770525157.608091,16,1023
1770525157.608091,17,1023
1770525158.127077,16,36
1770525158.127077,17,573
1770525158.145063,16,1023
1770525158.145063,17,1023
1770525160.526158,16,748
1770525160.526158,17,203
1770525160.526163,16,1023
1770525160.526163,17,1023
1770525160.609161,16,371
1770525160.609161,17,68
1770525160.643366,16,1023
1770525160.643366,17,1023
1770525160.832103,16,599
1770525160.832103,17,469
1770525160.849094,16,1023
1770525160.849094,17,1023
1770525161.063115,16,520
1770525161.063115,17,488
1770525161.06312,16,1023
1770525161.06312,17,1023
1770525161.185116,16,522
1770525161.185116,17,480
1770525161.185123,16,1023
1770525161.185123,17,1023
1770525161.805129,16,454
1770525161.805129,17,244
1770525161.809143,16,1023
1770525161.809143,17,1023
1770525163.883705,16,657
1770525163.883705,17,690
1770525163.883711,16,676
1770525163.883711,17,691
1770525163.902114,16,1023
1770525163.902114,17,1023
1770525164.62312,16,107
1770525164.62312,17,556
1770525164.623138,16,1023
1770525164.623138,17,1023
