ts,dur,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770524796.7124417,2788.8453006744385,,,,,,,,
1770524799.5013552,0,42,731,,,,,,
1770524799.5117471,20112.648248672485,,,,,,,,
1770524819.6244907,0,800,400,,,,,,
1770524819.6296318,0,800,400,,,,,,
1770524819.6347609,0,800,400,,,,,,
1770524819.639902,0,800,400,,,,,,
1770524819.6450577,0,800,400,,,,,,
1770524819.6503806,0,800,400,,,,,,
1770524819.6561959,0,800,400,,,,,,
1770524819.666689,0,189,2,,,,,,
1770524819.6718285,0,189,2,,,,,,
1770524819.677513,0,189,2,,,,,,
1770524819.682716,0,806,134,,,,,,
1770524819.687853,0,806,134,,,,,,
1770524819.692997,0,806,134,,,,,,
1770524819.6981473,0,806,134,,,,,,
1770524819.7032735,0,806,134,,,,,,
1770524819.708382,0,806,134,,,,,,
1770524819.7135248,0,806,134,,,,,,
1770524819.7187033,0,806,134,,,,,,
1770524819.7292182,354.4631004333496,,,,,,,,
1770524820.0838118,0,724,746,,,,,,
1770524820.0889497,0,724,746,,,,,,
1770524820.094083,0,724,746,,,,,,
1770524820.09926,0,724,746,,,,,,
1770524820.109595,359.3161106109619,,,,,,,,
1770524820.468987,0,907,388,,,,,,
1770524820.4743445,0,907,388,,,,,,
1770524820.4794877,0,907,388,,,,,,
1770524820.484604,0,907,388,,,,,,
1770524820.48973,0,907,388,,,,,,
1770524820.4961648,0,907,388,,,,,,
1770524820.5013595,0,902,395,,,,,,
1770524820.5117326,12791.532754898071,,,,,,,,
1770524833.3033462,0,270,648,,,,,,
1770524833.3084843,0,270,648,,,,,,
1770524833.3136058,0,270,648,,,,,,
1770524833.318743,0,270,648,,,,,,
1770524833.3238783,0,270,648,,,,,,
1770524833.3290348,0,270,648,,,,,,
1770524833.3341465,0,270,648,,,,,,
1770524833.3392837,0,270,648,,,,,,
1770524833.3495703,1132.2836875915527,,,,,,,,
1770524834.4819002,0,214,78,,,,,,
1770524834.4921048,591.0499095916748,,,,,,,,
1770524835.0832722,0,236,54,,,,,,
1770524835.0883896,0,236,54,,,,,,
1770524835.0935214,0,236,54,,,,,,
