ts,dur,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770524835.098659,0,236,54,,,,,,
1770524835.1089306,718.2836532592773,,,,,,,,
1770524835.8273346,0,703,418,,,,,,
1770524835.8324409,0,703,418,,,,,,
1770524835.837657,0,703,418,,,,,,
1770524835.8428557,0,703,418,,,,,,
1770524835.8479893,0,703,418,,,,,,
1770524835.8531158,0,703,418,,,,,,
1770524835.858252,0,703,418,,,,,,
1770524835.8686204,56.47015571594238,,,,,,,,
1770524835.9251864,0,448,398,,,,,,
1770524835.9303186,0,448,398,,,,,,
1770524835.9354773,0,448,398,,,,,,
1770524835.9406245,0,448,398,,,,,,
1770524835.9509938,97.42999076843262,,,,,,,,
1770524836.0485883,0,818,263,,,,,,
1770524836.0536888,0,818,263,,,,,,
1770524836.0588825,0,818,263,,,,,,
1770524836.0640278,0,818,263,,,,,,
1770524836.074385,689.8512840270996,,,,,,,,
1770524836.7642896,0,14,82,,,,,,
1770524836.7746456,107.95307159423828,,,,,,,,
1770524836.8830714,0,872,280,894,352,,,,
1770524836.8934908,1067.6443576812744,,,,,,,,
1770524837.9611347,0,84,174,,,,,,
1770524837.9662483,0,84,174,,,,,,
1770524837.977063,1030.456304550171,,,,,,,,
1770524839.0075781,0,872,568,,,,,,
1770524839.0127149,0,872,568,,,,,,
1770524839.0178251,0,872,568,,,,,,
1770524839.0229366,0,872,568,,,,,,
1770524839.0281475,0,872,568,,,,,,
1770524839.0332453,0,872,568,,,,,,
1770524839.0383515,0,872,568,,,,,,
1770524839.0486414,1818.64333152771,,,,,,,,
1770524840.867352,0,390,24,,,,,,
1770524840.872459,0,390,24,,,,,,
1770524840.8776093,0,390,24,,,,,,
1770524840.8827436,0,390,24,,,,,,
1770524840.8878884,0,390,24,,,,,,
1770524840.8930204,0,390,24,,,,,,
1770524840.8981628,0,390,24,,,,,,
1770524840.9084318,375.2446174621582,,,,,,,,
1770524841.283763,0,672,231,,,,,,
1770524841.294328,1835.655689239502,,,,,,,,
1770524843.1299732,0,165,368,,,,,,
1770524843.1351345,0,165,368,,,,,,
1770524843.1402745,0,165,368,,,,,,
1770524843.1454208,0,165,368,,,,,,
1770524843.1558106,1285.4087352752686,,,,,,,,
1770524844.441257,0,904,214,518,223,,,,
1770524844.4463856,0,904,214,518,223,,,,
1770524844.4515135,0,904,214,518,223,,,,
1770524844.4566815,0,904,214,518,223,,,,
1770524844.467136,56.55980110168457,,,,,,,,
1770524844.5237312,0,544,40,,,,,,
1770524844.529054,0,544,40,,,,,,
1770524844.5341876,0,544,40,,,,,,
1770524844.5396903,0,544,40,,,,,,
1770524844.5448263,0,544,40,,,,,,
1770524844.5499396,0,544,40,,,,,,
1770524844.5550551,0,544,40,,,,,,
1770524844.5601766,0,544,40,,,,,,
1770524844.570487,175.06647109985352,,,,,,,,
1770524844.745621,0,926,197,,,,,,
1770524844.750737,0,926,197,,,,,,
1770524844.7558522,0,926,197,,,,,,
1770524844.7609677,0,926,197,,,,,,
1770524844.771253,944.0603256225586,,,,,,,,
1770524845.7155085,0,959,423,,,,,,
1770524845.7206426,0,959,423,,,,,,
1770524845.725808,0,959,423,,,,,,
1770524845.7309508,0,959,423,,,,,,
1770524845.7361085,0,959,423,,,,,,
1770524845.7412395,0,959,423,,,,,,
1770524845.7463777,0,959,423,,,,,,
1770524845.7514873,0,959,423,,,,,,
1770524845.7566102,0,959,423,,,,,,
1770524845.7669368,61.5391731262207,,,,,,,,
1770524845.8285797,0,255,54,,,,,,
1770524845.8336873,0,255,54,,,,,,
1770524845.8388088,0,255,54,,,,,,
1770524845.8439496,0,255,54,,,,,,
1770524845.8542445,931.1733245849609,,,,,,,,
1770524846.7854903,0,772,584,,,,,,
1770524846.790633,0,772,584,,,,,,
1770524846.7957826,0,772,584,,,,,,
1770524846.8009067,0,772,584,,,,,,
1770524846.811238,522.9682922363281,,,,,,,,
1770524847.3342795,0,746,682,,,,,,
1770524847.3394272,0,746,682,,,,,,
1770524847.3445702,0,746,682,,,,,,
1770524847.3502178,0,746,682,,,,,,
1770524847.3553832,0,746,682,,,,,,
1770524847.3605206,0,746,682,,,,,,
1770524847.3656502,0,746,682,,,,,,
1770524847.370798,0,746,682,,,,,,
1770524847.3759267,0,746,682,,,,,,
1770524847.3862755,381.9272518157959,,,,,,,,
1770524847.7682662,0,937,360,,,,,,
1770524847.773375,0,937,360,,,,,,
1770524847.7785177,0,937,360,,,,,,
1770524847.783631,0,937,360,,,,,,
1770524847.7887535,0,937,360,,,,,,
1770524847.7938933,0,937,360,,,,,,
1770524847.798999,0,937,360,,,,,,
1770524847.8092644,308.22229385375977,,,,,,,,
1770524848.1175325,0,973,488,,,,,,
1770524848.1226497,0,973,488,,,,,,
1770524848.1277516,0,973,488,,,,,,
1770524848.1328506,0,973,488,,,,,,
1770524848.137954,0,973,488,,,,,,
1770524848.1430633,0,973,488,,,,,,
1770524848.1481645,0,973,488,,,,,,
1770524848.153252,0,973,488,,,,,,
1770524848.1583412,0,973,488,,,,,,
1770524848.1685731,1012.3379230499268,,,,,,,,
1770524849.1810536,0,728,68,,,,,,
1770524849.186165,0,728,68,,,,,,
1770524849.1912732,0,728,68,,,,,,
1770524849.1963952,0,728,68,,,,,,
1770524849.2070282,1173.9065647125244,,,,,,,,
1770524850.3806996,0,854,574,,,,,,
1770524850.38581,0,854,574,,,,,,
1770524850.390927,0,854,574,,,,,,
1770524850.4012456,67.15989112854004,,,,,,,,
1770524850.468533,0,913,353,,,,,,
1770524850.473659,0,913,353,,,,,,
1770524850.478795,0,913,353,,,,,,
1770524850.483935,0,913,353,,,,,,
1770524850.489066,0,913,353,,,,,,
1770524850.494187,0,913,353,,,,,,
1770524850.499289,0,913,353,,,,,,
1770524850.5095546,955.2900791168213,,,,,,,,
1770524851.4652414,0,52,206,,,,,,
1770524851.4756248,107.7876091003418,,,,,,,,
1770524851.5834503,0,470,400,,,,,,
1770524851.5885952,0,470,400,,,,,,
1770524851.5937614,0,470,400,,,,,,
1770524851.6040826,399.8980522155762,,,,,,,,
1770524852.004127,0,116,120,,,,,,
1770524852.014476,733.3376407623291,,,,,,,,
1770524852.747908,0,416,407,,,,,,
1770524852.753039,0,416,407,,,,,,
1770524852.758188,0,416,407,,,,,,
1770524852.7633927,0,416,407,,,,,,
1770524852.7685394,0,416,407,,,,,,
1770524852.7736661,0,416,407,,,,,,
1770524852.7788057,0,416,407,,,,,,
1770524852.7891834,482.867956161499,,,,,,,,
1770524853.2721462,0,616,68,,,,,,
1770524853.2772775,0,616,68,,,,,,
1770524853.2824187,0,616,68,,,,,,
1770524853.2928178,210.31546592712402,,,,,,,,
1770524853.5031755,0,388,75,,,,,,
1770524853.513606,194.5171356201172,,,,,,,,
1770524853.708299,0,942,715,,,,,,
1770524853.7134311,0,942,715,,,,,,
1770524853.7188401,0,942,715,,,,,,
1770524853.7240233,0,942,715,,,,,,
1770524853.729128,0,942,715,,,,,,
1770524853.7342548,0,942,715,,,,,,
1770524853.7394834,0,942,715,,,,,,
1770524853.7498124,2220.9935188293457,,,,,,,,
1770524855.9709294,0,352,148,,,,,,
1770524855.97617,0,352,148,,,,,,
1770524855.9813132,0,352,148,,,,,,
1770524855.9917493,1291.7792797088623,,,,,,,,
