ts,dur,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770525146.8233438,0,106,255,,,,,,
1770525146.828456,0,106,255,,,,,,
1770525146.8335733,0,106,255,,,,,,
1770525146.8386853,0,106,255,,,,,,
1770525146.8443654,0,106,255,,,,,,
1770525146.8546531,594.9034690856934,,,,,,,,
1770525147.4496834,0,490,38,,,,,,
1770525147.454808,0,490,38,,,,,,
1770525147.4599342,0,490,38,,,,,,
1770525147.4703245,293.1058406829834,,,,,,,,
1770525147.763527,0,22,665,,,,,,
1770525147.7686648,0,22,665,,,,,,
1770525147.7737978,0,22,665,,,,,,
1770525147.77894,0,22,665,,,,,,
1770525147.7840996,0,22,665,,,,,,
1770525147.789213,0,22,665,,,,,,
1770525147.7943428,0,22,665,,,,,,
1770525147.799485,0,22,665,,,,,,
1770525147.8098295,1580.5182456970215,,,,,,,,
1770525149.390476,0,183,431,,,,,,
1770525149.395582,0,183,431,,,,,,
1770525149.400674,0,183,431,,,,,,
1770525149.405789,0,183,431,,,,,,
1770525149.410909,0,183,431,,,,,,
1770525149.4165611,0,183,431,,,,,,
1770525149.4216993,0,183,431,,,,,,
1770525149.432027,1147.820234298706,,,,,,,,
1770525150.5799768,0,876,143,,,,,,
1770525150.5851176,0,876,143,,,,,,
1770525150.5902472,0,876,143,,,,,,
1770525150.595375,0,876,143,,,,,,
1770525150.600505,0,876,143,,,,,,
1770525150.6055713,0,876,143,,,,,,
1770525150.6107292,0,876,143,,,,,,
1770525150.6158717,0,876,143,,,,,,
1770525150.6210089,0,876,143,,,,,,
1770525150.6312969,174.29232597351074,,,,,,,,
1770525150.805639,0,164,390,,,,,,
1770525150.8159392,107.97953605651855,,,,,,,,
1770525150.9239695,0,749,102,,,,,,
1770525150.9290924,0,749,102,,,,,,
1770525150.9400835,593.3208465576172,,,,,,,,
1770525151.5334826,0,205,670,,,,,,
1770525151.538603,0,205,670,,,,,,
1770525151.5437317,0,205,670,,,,,,
1770525151.5488508,0,205,670,,,,,,
1770525151.559096,410.9947681427002,,,,,,,,
1770525151.9701936,0,431,24,,,,,,
1770525151.9753218,0,431,24,,,,,,
1770525151.9805012,0,431,24,,,,,,
1770525151.9856455,0,431,24,,,,,,
1770525151.9907484,0,431,24,,,,,,
1770525151.9959335,0,431,24,,,,,,
1770525152.0011244,0,431,24,,,,,,
1770525152.0134687,498.98529052734375,,,,,,,,
1770525152.5119524,0,172,340,,,,,,
1770525152.5171509,0,172,340,,,,,,
1770525152.5222845,0,172,340,,,,,,
1770525152.5274699,0,172,340,,,,,,
1770525152.5326147,0,172,340,,,,,,
1770525152.5377452,0,172,340,,,,,,
1770525152.5428698,0,172,340,,,,,,
1770525152.5532763,4390.2268409729,,,,,,,,
1770525156.9436212,0,96,96,,,,,,
1770525156.95398,534.254789352417,,,,,,,,
1770525157.4882948,0,191,560,,,,,,
1770525157.4934256,0,191,560,,,,,,
1770525157.4991698,0,191,560,,,,,,
1770525157.5043397,0,191,560,,,,,,
1770525157.5094676,0,191,560,,,,,,
1770525157.514603,0,191,560,,,,,,
1770525157.519751,0,191,560,,,,,,
1770525157.524861,0,191,560,,,,,,
1770525157.5352037,71.88558578491211,,,,,,,,
1770525157.607163,0,354,496,,,,,,
1770525157.6174388,513.8580799102783,,,,,,,,
1770525158.131344,0,36,573,,,,,,
1770525158.1364443,0,36,573,,,,,,
1770525158.1415544,0,36,573,,,,,,
1770525158.1519349,2457.6430320739746,,,,,,,,
1770525160.6096497,0,371,68,,,,,,
1770525160.6147673,0,371,68,,,,,,
1770525160.6198862,0,371,68,,,,,,
1770525160.6249995,0,371,68,,,,,,
1770525160.6301265,0,371,68,,,,,,
1770525160.63526,0,371,68,,,,,,
1770525160.6404274,0,371,68,,,,,,
1770525160.6507726,185.089111328125,,,,,,,,
1770525160.8359206,0,599,469,,,,,,
1770525160.8410223,0,599,469,,,,,,
1770525160.8461611,0,599,469,,,,,,
1770525160.8565526,950.3264427185059,,,,,,,,
1770525161.8069494,0,454,244,,,,,,
1770525161.8172626,2069.746732711792,,,,,,,,
1770525163.8871026,0,676,691,,,,,,
1770525163.8922076,0,676,691,,,,,,
1770525163.8974073,0,676,691,,,,,,
1770525163.9077425,1247.5731372833252,,,,,,,,
