ts,code,val
1770524799.500135,16,42
1770524799.500135,17,731
1770524799.503138,16,1023
1770524799.503138,17,1023
1770524802.278102,16,435
1770524802.278102,17,14
1770524802.282086,16,1023
1770524802.282086,17,1023
1770524819.622115,16,800
1770524819.622115,17,400
1770524819.660095,16,171
1770524819.660095,17,460
1770524819.660103,16,1023
1770524819.660103,17,1023
1770524819.663123,16,189
1770524819.663123,17,2
1770524819.682291,16,1023
1770524819.682291,17,1023
1770524819.682298,16,806
1770524819.682298,17,134
1770524819.722169,16,1023
1770524819.722169,17,1023
1770524820.081097,16,724
1770524820.081097,17,746
1770524820.099575,16,1023
1770524820.099575,17,1023
1770524820.465089,16,907
1770524820.465089,17,388
1770524820.500215,16,1023
1770524820.500215,17,1023
1770524820.500222,16,902
1770524820.500222,17,395
1770524820.504133,16,1023
1770524820.504133,17,1023
1770524822.962091,16,75
1770524822.962091,17,439
1770524822.9621,16,1023
1770524822.9621,17,1023
1770524833.302127,16,270
1770524833.302127,17,648
1770524833.34313,16,1023
1770524833.34313,17,1023
1770524834.480082,16,214
1770524834.480082,17,78
1770524834.482069,16,1023
1770524834.482069,17,1023
1770524835.082098,16,236
1770524835.082098,17,54
1770524835.100111,17,62
1770524835.10208,16,1023
1770524835.10208,17,1023
1770524835.142083,16,232
1770524835.142083,17,59
1770524835.142088,16,1023
1770524835.142088,17,1023
1770524835.761271,16,84
1770524835.761271,17,45
1770524835.761278,16,1023
1770524835.761278,17,1023
1770524835.801111,16,69
1770524835.801111,17,28
1770524835.801119,16,1023
1770524835.801119,17,1023
1770524835.823106,16,703
1770524835.823106,17,418
1770524835.860107,16,1023
1770524835.860107,17,1023
1770524835.923083,16,448
1770524835.923083,17,398
1770524835.941122,16,853
1770524835.941122,17,257
1770524835.945099,16,1023
1770524835.945099,17,1023
1770524836.047131,16,818
1770524836.047131,17,263
1770524836.065119,16,1023
1770524836.065119,17,1023
1770524836.543104,16,256
1770524836.543104,17,704
1770524836.543111,16,1023
1770524836.543111,17,1023
1770524836.760092,16,14
1770524836.760092,17,82
1770524836.766185,16,1023
1770524836.766185,17,1023
1770524836.882139,16,872
1770524836.882139,17,280
1770524836.882139,18,894
1770524836.882139,19,352
1770524836.88814,16,1023
1770524836.88814,17,1023
1770524836.88814,18,1023
1770524836.88814,19,1023
1770524837.960078,16,84
1770524837.960078,17,174
1770524837.967136,16,1023
1770524837.967136,17,1023
1770524838.501096,16,17
1770524838.501096,17,206
1770524838.501106,16,1023
1770524838.501106,17,1023
1770524839.0061,16,872
1770524839.0061,17,568
1770524839.04007,16,1023
1770524839.04007,17,1023
1770524840.240134,16,795
1770524840.240134,17,206
1770524840.240149,16,1023
1770524840.240149,17,1023
1770524840.867079,16,390
1770524840.867079,17,24
1770524840.900101,16,1023
1770524840.900101,17,1023
1770524841.283108,16,672
1770524841.283108,17,231
1770524841.288913,16,1023
1770524841.288913,17,1023
1770524841.740115,16,272
1770524841.740115,17,140
1770524841.740122,16,1023
1770524841.740122,17,1023
1770524842.280114,16,267
1770524842.280114,17,63
1770524842.280121,16,1023
1770524842.280121,17,1023
1770524843.128124,16,165
1770524843.128124,17,368
1770524843.146102,16,1023
1770524843.146102,17,1023
1770524844.440199,16,860
1770524844.440199,17,226
1770524844.440207,16,904
1770524844.440207,17,214
1770524844.440207,18,518
1770524844.440207,19,223
1770524844.461109,16,1023
1770524844.461109,17,1023
1770524844.461109,18,1023
1770524844.461109,19,1023
1770524844.521094,16,544
1770524844.521094,17,40
1770524844.561098,16,1023
1770524844.561098,17,1023
1770524844.745074,16,926
1770524844.745074,17,197
1770524844.762091,16,1023
1770524844.762091,17,1023
1770524844.980146,16,110
1770524844.980146,17,246
1770524844.980153,16,1023
1770524844.980153,17,1023
1770524845.181139,16,969
1770524845.181139,17,284
1770524845.181144,16,1023
1770524845.181144,17,1023
1770524845.640093,16,941
1770524845.640093,17,560
1770524845.640099,16,1023
1770524845.640099,17,1023
1770524845.712251,16,959
1770524845.712251,17,423
1770524845.760306,16,1023
1770524845.760306,17,1023
1770524845.827342,16,255
1770524845.827342,17,54
1770524845.8451,16,1023
1770524845.8451,17,1023
1770524846.180128,16,992
1770524846.180128,17,54
1770524846.180128,18,275
1770524846.180128,19,56
1770524846.180145,16,1023
1770524846.180145,17,1023
1770524846.180145,18,1023
1770524846.180145,19,1023
1770524846.782109,16,772
1770524846.782109,17,584
1770524846.801084,16,1023
1770524846.801084,17,1023
1770524847.331128,16,746
1770524847.331128,17,682
1770524847.380164,16,1023
1770524847.380164,17,1023
1770524847.767178,16,937
1770524847.767178,17,360
1770524847.802116,16,1023
1770524847.802116,17,1023
1770524847.878265,16,946
1770524847.878265,17,347
1770524847.880093,16,1023
1770524847.880093,17,1023
1770524848.117111,16,973
1770524848.117111,17,488
1770524848.160079,16,1023
1770524848.160079,17,1023
1770524849.180172,16,728
1770524849.180172,17,68
1770524849.198077,16,1023
1770524849.198077,17,1023
1770524850.3801,16,854
1770524850.3801,17,574
1770524850.393287,16,1023
1770524850.393287,17,1023
1770524850.465144,16,913
1770524850.465144,17,353
1770524850.501086,16,1023
1770524850.501086,17,1023
1770524851.460388,16,52
1770524851.460388,17,206
1770524851.469138,16,1023
1770524851.469138,17,1023
1770524851.581122,16,30
1770524851.581122,17,343
1770524851.581128,16,470
1770524851.581128,17,400
1770524851.598115,16,1023
1770524851.598115,17,1023
1770524851.661087,16,27
1770524851.661087,17,759
1770524851.661091,16,1023
1770524851.661091,17,1023
1770524852.000103,16,116
1770524852.000103,17,120
1770524852.008232,16,1023
1770524852.008232,17,1023
1770524852.660253,16,500
1770524852.660253,17,293
1770524852.660261,16,1023
1770524852.660261,17,1023
1770524852.746111,16,416
1770524852.746111,17,407
1770524852.780114,16,1023
1770524852.780114,17,1023
1770524853.270147,16,616
1770524853.270147,17,68
1770524853.286119,16,1023
1770524853.286119,17,1023
1770524853.50111,16,388
1770524853.50111,17,75
1770524853.505085,16,1023
1770524853.505085,17,1023
1770524853.621077,16,274
1770524853.621077,17,172
1770524853.621098,16,1023
1770524853.621098,17,1023
1770524853.70511,16,942
1770524853.70511,17,715
1770524853.741131,16,1023
1770524853.741131,17,1023
1770524855.967712,16,352
1770524855.967712,17,148
1770524855.984112,16,1023
1770524855.984112,17,1023
