timestamp,abs_code,value
1770524617.757199,16,586
1770524617.757199,17,164
1770524617.767071,16,1023
1770524617.767071,17,1023
1770524618.247079,16,580
1770524618.247079,17,52
1770524618.265093,16,1023
1770524618.265093,17,1023
1770524618.358173,16,235
1770524618.358173,17,165
1770524618.367116,16,1023
1770524618.367116,17,1023
1770524618.597554,16,564
1770524618.597554,17,220
1770524618.599065,16,1023
1770524618.599065,17,1023
1770524618.721076,16,80
1770524618.721076,17,216
1770524618.738166,16,1023
1770524618.738166,17,1023
1770524618.742118,16,738
1770524618.742118,17,554
1770524618.778119,16,1023
1770524618.778119,17,1023
1770524618.784148,16,725
1770524618.784148,17,531
1770524618.801076,16,413
1770524618.801076,17,301
1770524618.803078,16,1023
1770524618.803078,17,1023
1770524621.177074,16,112
1770524621.177074,17,680
1770524621.198084,16,1023
1770524621.198084,17,1023
1770524621.91633,16,532
1770524621.91633,17,757
1770524621.957113,16,1023
1770524621.957113,17,1023
1770524623.583086,16,742
1770524623.583086,17,45
1770524623.601104,16,1023
1770524623.601104,17,1023
1770524624.001096,16,594
1770524624.001096,17,326
1770524624.019126,16,1023
1770524624.019126,17,1023
1770524624.133143,16,317
1770524624.133143,17,67
1770524624.17708,16,1023
1770524624.17708,17,1023
1770524626.037108,16,514
1770524626.037108,17,117
1770524626.056137,16,1023
1770524626.056137,17,1023
1770524627.023133,16,56
1770524627.023133,17,288
1770524627.057955,16,1023
1770524627.057955,17,1023
1770524627.05796,16,480
1770524627.05796,17,504
1770524627.05796,18,440
1770524627.05796,19,522
1770524627.063096,16,1023
1770524627.063096,17,1023
1770524627.063096,18,1023
1770524627.063096,19,1023
1770524627.118084,16,680
1770524627.118084,17,432
1770524627.125084,16,1023
1770524627.125084,17,1023
1770524627.560079,16,731
1770524627.560079,17,594
1770524627.560079,18,79
1770524627.560079,19,234
1770524627.59808,16,1023
1770524627.59808,17,1023
1770524627.59808,18,67
1770524627.59808,19,465
1770524627.598085,16,118
1770524627.598085,17,251
1770524627.598085,18,120
1770524627.598085,19,272
1770524627.598085,20,791
1770524627.598085,21,646
1770524627.601085,16,1023
1770524627.601085,17,1023
1770524627.601085,18,1023
1770524627.601085,19,1023
1770524627.601085,20,1023
1770524627.601085,21,1023
1770524627.841092,16,862
1770524627.841092,17,759
1770524627.841099,16,1023
1770524627.841099,17,1023
1770524627.920094,16,877
1770524627.920094,17,759
1770524627.971601,16,1023
1770524627.971601,17,1023
1770524628.402079,16,308
1770524628.402079,17,4
1770524628.43809,16,1023
1770524628.43809,17,1023
1770524629.697241,16,520
1770524629.697241,17,8
1770524629.706174,16,1023
1770524629.706174,17,1023
1770524632.758108,16,240
1770524632.758108,17,552
1770524632.760079,16,1023
1770524632.760079,17,1023
1770524633.657077,16,482
1770524633.657077,17,16
1770524633.657082,16,1023
1770524633.657082,17,1023
1770524633.842637,16,252
1770524633.842637,17,634
1770524633.850078,16,1023
1770524633.850078,17,1023
1770524634.797264,16,164
1770524634.797264,17,457
1770524634.797278,16,1023
1770524634.797278,17,1023
1770524635.045079,16,402
1770524635.045079,17,20
1770524635.06208,16,1023
1770524635.06208,17,1023
1770524636.781078,16,824
1770524636.781078,17,272
1770524636.798076,16,1023
1770524636.798076,17,1023
1770524636.842083,16,448
1770524636.842083,17,296
1770524636.842091,16,1023
1770524636.842091,17,1023
1770524637.017073,16,32
1770524637.017073,17,586
