ts,dur,p0x,p0y,p1x,p1y,p2x,p2y,p3x,p3y
1770525368.5601983,4906.193733215332,,,,,,,,
1770525373.4664648,0,80,224,,,,,,
1770525373.478107,4096.800088882446,,,,,,,,
1770525377.5750105,0,476,17,,,,,,
1770525377.5800924,0,476,17,,,,,,
1770525377.5852387,0,476,17,,,,,,
1770525377.5904777,0,476,17,,,,,,
1770525377.5956132,0,476,17,,,,,,
1770525377.6008027,0,476,17,,,,,,
1770525377.606608,0,476,17,,,,,,
1770525377.6179364,949.5391845703125,,,,,,,,
1770525378.5665433,0,455,5,,,,,,
1770525378.5716548,0,455,5,,,,,,
1770525378.576817,0,455,5,,,,,,
1770525378.5871189,66.72930717468262,,,,,,,,
1770525378.6539142,0,203,51,,,,,,
1770525378.659049,0,203,51,,,,,,
1770525378.6641622,0,203,51,,,,,,
1770525378.6693165,0,203,51,,,,,,
1770525378.6744356,0,203,51,,,,,,
1770525378.679536,0,203,51,,,,,,
1770525378.6846502,0,203,51,,,,,,
1770525378.694931,291.58806800842285,,,,,,,,
1770525378.986586,0,741,27,,,,,,
1770525378.9968965,3539.8550033569336,,,,,,,,
1770525382.5368571,0,833,76,,,,,,
1770525382.5420284,0,833,76,,,,,,
1770525382.5470955,0,833,76,,,,,,
1770525382.5576327,2035.0923538208008,,,,,,,,
1770525384.5927618,0,390,224,,,,,,
1770525384.5978997,0,390,224,,,,,,
1770525384.6030242,0,390,224,,,,,,
1770525384.6081138,0,390,224,,,,,,
1770525384.6132116,0,390,224,,,,,,
1770525384.6183038,0,390,224,,,,,,
1770525384.623419,0,390,224,,,,,,
1770525384.633767,71.69508934020996,,,,,,,,
1770525384.705562,0,888,146,,,,,,
1770525384.7171338,298.3424663543701,,,,,,,,
1770525385.0142632,0,819,198,,,,,,
1770525385.019376,0,819,198,,,,,,
1770525385.024515,0,819,198,,,,,,
1770525385.0296407,0,819,198,,,,,,
1770525385.0347657,0,819,198,,,,,,
1770525385.0398858,0,819,198,,,,,,
1770525385.0450084,0,819,198,,,,,,
1770525385.0552986,1153.1550884246826,,,,,,,,
1770525386.2084994,0,829,178,,,,,,
1770525386.2136016,0,829,178,,,,,,
1770525386.2187042,0,829,178,,,,,,
1770525386.2238164,0,829,178,,,,,,
1770525386.2289412,0,829,178,,,,,,
1770525386.234054,0,829,178,,,,,,
1770525386.2391746,0,829,178,,,,,,
1770525386.2442794,0,829,178,,,,,,
1770525386.2545571,2763.369560241699,,,,,,,,
1770525389.0179784,0,830,166,,,,,,
1770525389.0231082,0,830,166,,,,,,
1770525389.0282104,0,830,166,,,,,,
1770525389.0385299,209.7187042236328,,,,,,,,
1770525389.248264,0,520,429,,,,,,
1770525389.2533462,0,520,429,,,,,,
1770525389.2585657,0,520,429,,,,,,
1770525389.2636743,0,520,429,,,,,,
1770525389.2740107,56.29539489746094,,,,,,,,
1770525389.3303654,0,252,33,,,,,,
1770525389.3354633,0,252,33,,,,,,
1770525389.34059,0,252,33,,,,,,
1770525389.345765,0,252,33,,,,,,
1770525389.350857,0,252,33,,,,,,
1770525389.3559756,0,252,33,,,,,,
1770525389.3611164,0,252,33,,,,,,
1770525389.3662128,0,252,33,,,,,,
1770525389.3765209,3113.9912605285645,,,,,,,,
1770525392.4906142,0,80,148,,,,,,
1770525392.5009496,297.53708839416504,,,,,,,,
1770525392.7985473,0,128,698,,,,,,
1770525392.803736,0,128,698,,,,,,
1770525392.8088763,0,128,698,,,,,,
1770525392.8191924,209.73706245422363,,,,,,,,
1770525393.0289967,0,133,706,,,,,,
1770525393.0341213,0,133,706,,,,,,
1770525393.0392935,0,133,706,,,,,,
1770525393.0444193,0,133,706,,,,,,
1770525393.0547433,281.45408630371094,,,,,,,,
1770525393.3362885,0,132,706,,,,,,
1770525393.3414133,0,132,706,,,,,,
1770525393.346538,0,132,706,,,,,,
1770525393.357194,2017.1165466308594,,,,,,,,
1770525395.3741424,0,624,534,,,,,,
1770525395.379303,0,624,534,,,,,,
1770525395.384409,0,624,534,,,,,,
1770525395.3895316,0,624,534,,,,,,
1770525395.3946772,0,509,14,,,,,,
1770525395.3997977,0,509,14,,,,,,
1770525395.4049072,0,509,14,,,,,,
1770525395.4100313,0,509,14,,,,,,
1770525395.4151073,0,509,14,,,,,,
1770525395.4208078,0,509,14,,,,,,
1770525395.4266539,0,509,14,,,,,,
1770525395.4374826,951.188325881958,,,,,,,,
1770525396.3882725,0,292,44,,,,,,
1770525396.393368,0,292,44,,,,,,
1770525396.4011555,0,292,44,,,,,,
1770525396.4114442,1021.2304592132568,,,,,,,,
1770525397.43277,0,398,12,,,,,,
1770525397.4382718,0,398,12,,,,,,
1770525397.4434044,0,398,12,,,,,,
1770525397.4485314,0,398,12,,,,,,
1770525397.4536602,0,398,12,,,,,,
1770525397.4587903,0,398,12,,,,,,
1770525397.4638977,0,398,12,,,,,,
1770525397.474218,77.91423797607422,,,,,,,,
1770525397.5521944,0,70,154,,,,,,
1770525397.5625288,92.23365783691406,,,,,,,,
1770525397.6552055,0,,,,,672,19,,
1770525397.6603312,0,,,,,672,19,,
1770525397.6654494,0,,,,,672,19,,
1770525397.6705675,0,,,,,672,19,,
1770525397.6808555,390.23399353027344,,,,,,,,
1770525398.07119,0,440,655,,,,,,
1770525398.0763116,0,440,655,,,,,,
1770525398.0814085,0,440,655,,,,,,
1770525398.0864992,0,165,28,,,,,,
1770525398.096735,1409.9810123443604,,,,,,,,
1770525399.5068576,0,919,735,,,,,,
1770525399.5171297,531.4245223999023,,,,,,,,
1770525400.0486474,0,160,100,,,,,,
1770525400.0537622,0,160,100,,,,,,
1770525400.0589051,0,160,100,,,,,,
1770525400.0640347,0,160,100,,,,,,
1770525400.0743675,599.8587608337402,,,,,,,,
1770525400.6743646,0,984,662,,,,,,
1770525400.6795113,0,984,662,,,,,,
1770525400.6846485,0,984,662,,,,,,
1770525400.6901102,0,984,662,,,,,,
1770525400.6952307,0,984,662,,,,,,
1770525400.7003412,0,984,662,,,,,,
1770525400.7054832,0,984,662,,,,,,
1770525400.7158434,2877.6793479919434,,,,,,,,
1770525403.5935602,0,900,216,,,,,,
1770525403.5987039,0,900,216,,,,,,
1770525403.6038227,0,900,216,,,,,,
1770525403.6141884,1157.2115421295166,,,,,,,,
